MEDV,LON,LAT,CRIME,ZONE,INDUS,NOX,ROOM,AGE,DIST,RADIAL,TAX,PTRATIO,LSTAT
856,-71.2807,42.1727,0.36894,22,5.86,0.431,8.259,8.4,8.9067,7,330,19.1,3.54
438,-71.2895,42.1575,0.04819,80,3.64,0.392,6.108,32,9.2203,1,315,16.4,6.57
418,-71.269,42.1482,0.03548,80,3.64,0.392,5.876,19.1,9.2203,1,315,16.4,9.25
880,-71.223,42.145,0.01538,90,3.75,0.394,7.454,34.2,6.3361,3,244,15.9,3.11
1000,-71.0679,42.2073,0.61154,20,3.97,0.647,8.704,86.9,1.801,5,264,13,5.12
720,-71.0727,42.2077,0.66351,20,3.97,0.647,7.333,100,1.8946,5,264,13,7.79
602,-71.0765,42.2075,0.65665,20,3.97,0.647,6.842,100,2.0107,5,264,13,6.9
676,-71.08,42.204,0.54011,20,3.97,0.647,7.203,81.8,2.1121,5,264,13,9.59
862,-71.079,42.202,0.53412,20,3.97,0.647,7.52,89.4,2.1398,5,264,13,7.26
976,-71.0835,42.2,0.52014,20,3.97,0.647,8.398,91.5,2.2885,5,264,13,5.91
620,-71.075,42.198,0.82526,20,3.97,0.647,7.327,94.5,2.0788,5,264,13,11.25
730,-71.071,42.203,0.55007,20,3.97,0.647,7.206,91.6,1.9301,5,264,13,8.1
456,-71.07,42.2,0.76162,20,3.97,0.647,5.56,62.8,1.9865,5,264,13,10.45
614,-71.0725,42.1965,0.7857,20,3.97,0.647,7.014,84.6,2.1329,5,264,13,14.79
1000,-71.085,42.1925,0.57834,20,3.97,0.575,8.297,67,2.4216,5,264,13,7.44
870,-71.0925,42.2075,0.5405,20,3.97,0.575,7.47,52.6,2.872,5,264,13,3.16
414,-71.098,42.154,0.09065,20,6.96,0.464,5.92,61.5,3.9175,3,223,18.6,13.65
422,-71.087,42.141,0.29916,20,6.96,0.464,5.856,42.1,4.429,3,223,18.6,13
504,-71.094,42.1355,0.16211,20,6.96,0.464,6.24,16.3,4.429,3,223,18.6,6.59
488,-71.0982,42.1445,0.1146,20,6.96,0.464,6.538,58.7,3.9175,3,223,18.6,7.73
704,-71.117,42.151,0.22188,20,6.96,0.464,7.691,51.8,4.3665,3,223,18.6,6.58
648,-71.1305,42.1675,0.05644,40,6.41,0.447,6.758,32.9,4.0776,4,254,17.6,3.53
640,-71.138,42.1733,0.09604,40,6.41,0.447,6.854,42.8,4.2673,4,254,17.6,2.98
664,-71.1405,42.1632,0.10469,40,6.41,0.447,7.267,49,4.7872,4,254,17.6,6.05
662,-71.1495,42.173,0.06127,40,6.41,0.447,6.826,27.6,4.8628,4,254,17.6,4.16
582,-71.1395,42.1813,0.07978,40,6.41,0.447,6.482,32.1,4.1403,4,254,17.6,7.19
702,-71.148,42.188,0.21038,20,3.33,0.4429,6.812,32.2,4.1007,5,216,14.9,4.85
908,-71.166,42.187,0.03578,20,3.33,0.4429,7.82,64.5,4.6947,5,216,14.9,3.76
708,-71.185,42.1848,0.03705,20,3.33,0.4429,6.968,37.2,5.2447,5,216,14.9,4.59
920,-71.1775,42.1735,0.06129,20,3.33,0.4429,7.645,49.7,5.2119,5,216,14.9,3.01
1000,-71.173,42.1475,0.01501,90,1.21,0.401,7.923,24.8,5.885,1,198,13.6,3.16
644,-71.18,42.1105,0.00906,90,2.97,0.4,7.088,20.8,7.3073,1,285,15.3,7.85
440,-71.2135,42.1,0.01096,55,2.25,0.389,6.453,31.9,7.3073,1,300,15.3,8.23
402,-71.195,42.0675,0.01965,80,1.76,0.385,6.23,31.5,9.0892,1,241,18.2,12.93
464,-71.148,42.0775,0.03871,52.5,5.32,0.405,6.209,31.3,7.3172,6,293,16.6,7.14
446,-71.1325,42.094,0.0459,52.5,5.32,0.405,6.315,45.6,7.3172,6,293,16.6,7.6
496,-71.155,42.098,0.04297,52.5,5.32,0.405,6.565,22.9,7.3172,6,293,16.6,9.51
570,-71.1385,42.1235,0.03502,80,4.95,0.411,6.861,27.9,5.1167,4,245,19.2,3.33
746,-71.133,42.1408,0.07886,80,4.95,0.411,7.148,27.7,5.1167,4,245,19.2,3.56
558,-71.107,42.1307,0.03615,80,4.95,0.411,6.63,23.4,5.1167,4,245,19.2,4.7
478,-71.109,42.11,0.08265,0,13.92,0.437,6.127,18.4,5.5027,4,289,16,8.58
434,-71.118,42.1217,0.08199,0,13.92,0.437,6.009,42.3,5.5027,4,289,16,10.4
572,-71.1309,42.1166,0.12932,0,13.92,0.437,6.678,31.1,5.9604,4,289,16,6.27
542,-71.128,42.1108,0.05372,0,13.92,0.437,6.549,51,5.9604,4,289,16,7.39
406,-71.121,42.1025,0.14103,0,13.92,0.437,5.79,58,6.32,4,289,16,15.84
450,-71.12,42.0725,0.06466,70,2.24,0.4,6.345,20.1,7.8278,5,358,14.8,4.97
580,-71.1,42.059,0.05561,70,2.24,0.4,7.041,10,7.8278,5,358,14.8,4.74
496,-71.1035,42.0735,0.04417,70,2.24,0.4,6.871,47.4,7.8278,5,358,14.8,6.07
440,-71.0875,42.095,0.03537,34,6.09,0.433,6.59,40.4,5.4917,7,329,16.1,9.5
528,-71.0625,42.102,0.09266,34,6.09,0.433,6.495,18.4,5.4917,7,329,16.1,8.67
662,-71.0865,42.12,0.1,34,6.09,0.433,6.982,17.7,5.4917,7,329,16.1,4.86
722,-71.0465,42.145,0.05515,33,2.18,0.472,7.236,41.1,4.022,7,222,18.4,6.93
568,-71.057,42.1525,0.05479,33,2.18,0.472,6.616,58.1,3.37,7,222,18.4,8.93
668,-71.045,42.159,0.07503,33,2.18,0.472,7.42,71.9,3.0992,7,222,18.4,6.47
564,-71.028,42.1565,0.04932,33,2.18,0.472,6.849,70.3,3.1827,7,222,18.4,7.53
456,-71.0138,42.1555,0.49298,0,9.9,0.544,6.635,82.5,3.3175,4,304,18.4,4.54
406,-71.0201,42.16,0.3494,0,9.9,0.544,5.972,76.7,3.1025,4,304,18.4,9.97
322,-71.016,42.176,2.63548,0,9.9,0.544,4.973,37.8,2.5194,4,304,18.4,12.64
442,-71.0075,42.178,0.79041,0,9.9,0.544,6.122,52.8,2.6403,4,304,18.4,5.98
388,-71.015,42.167,0.26169,0,9.9,0.544,6.023,90.4,2.834,4,304,18.4,11.72
432,-71.0075,42.1613,0.26938,0,9.9,0.544,6.266,82.8,3.2628,4,304,18.4,7.9
476,-71,42.153,0.3692,0,9.9,0.544,6.567,87.3,3.6023,4,304,18.4,9.28
324,-70.9795,42.158,0.25356,0,9.9,0.544,5.705,77.7,3.945,4,304,18.4,11.5
356,-70.988,42.1485,0.31827,0,9.9,0.544,5.914,83.2,3.9986,4,304,18.4,18.33
396,-71.004,42.1425,0.24522,0,9.9,0.544,5.782,71.7,4.0317,4,304,18.4,15.94
462,-71.01,42.15,0.40202,0,9.9,0.544,6.382,67.2,3.5325,4,304,18.4,10.36
420,-71.02,42.151,0.47547,0,9.9,0.544,6.113,58.8,4.0019,4,304,18.4,12.73
476,-71.0085,42.129,0.1676,0,7.38,0.493,6.426,52.3,4.5404,5,287,19.6,7.2
462,-70.9975,42.134,0.18159,0,7.38,0.493,6.376,54.3,4.5404,5,287,19.6,6.87
408,-70.99,42.1367,0.35114,0,7.38,0.493,6.041,49.9,4.7211,5,287,19.6,7.7
370,-70.9834,42.1375,0.28392,0,7.38,0.493,5.708,74.3,4.7211,5,287,19.6,11.74
500,-70.9895,42.1265,0.34109,0,7.38,0.493,6.415,40.1,4.7211,5,287,19.6,6.12
492,-71,42.1066,0.19186,0,7.38,0.493,6.431,14.7,5.4159,5,287,19.6,5.08
460,-70.9995,42.1175,0.30347,0,7.38,0.493,6.312,28.9,5.4159,5,287,19.6,6.15
444,-71.01,42.1215,0.24103,0,7.38,0.493,6.083,43.7,5.4159,5,287,19.6,12.79
386,-71.0275,42.113,0.06617,0,3.24,0.46,5.868,25.8,5.2146,4,430,16.9,9.97
452,-71.0415,42.115,0.06724,0,3.24,0.46,6.333,17.2,5.2146,4,430,16.9,7.34
396,-71.025,42.098,0.04544,0,3.24,0.46,6.144,32.2,5.8736,4,430,16.9,9.09
342,-71.0115,42.0865,0.05023,35,6.06,0.4379,5.706,28.4,6.6407,1,304,16.9,12.43
388,-70.996,42.0895,0.03466,35,6.06,0.4379,6.031,23.3,6.6407,1,304,16.9,7.83
444,-70.9795,42.0995,0.05083,0,5.19,0.515,6.316,38.1,6.4584,5,224,20.2,5.68
414,-70.965,42.101,0.03738,0,5.19,0.515,6.31,38.5,6.4584,5,224,20.2,6.75
422,-70.97,42.115,0.03961,0,5.19,0.515,6.037,34.5,5.9853,5,224,20.2,8.01
390,-70.976,42.128,0.03427,0,5.19,0.515,5.869,46.3,5.2311,5,224,20.2,9.8
370,-70.9602,42.127,0.03041,0,5.19,0.515,5.895,59.6,5.615,5,224,20.2,10.56
412,-70.9633,42.1374,0.03306,0,5.19,0.515,6.059,37.3,4.8122,5,224,20.2,8.51
380,-70.9675,42.144,0.05497,0,5.19,0.515,5.985,45.4,4.8122,5,224,20.2,9.74
374,-70.965,42.1503,0.06151,0,5.19,0.515,5.968,58.5,4.8122,5,224,20.2,9.29
654,-70.8875,42.1465,0.01301,35,1.52,0.442,7.241,49.3,7.0379,1,284,15.5,5.49
330,-70.915,42.16,0.02498,0,1.89,0.518,6.54,59.7,6.2669,1,422,15.9,8.65
478,-70.937,42.1475,0.02543,55,3.78,0.484,6.696,56.4,5.7321,5,370,17.6,7.18
624,-70.9325,42.123,0.03049,55,3.78,0.484,6.874,28.1,6.4654,5,370,17.6,4.61
350,-70.947,42.0725,0.03113,0,4.39,0.442,6.014,48.5,8.0136,3,352,18.8,10.53
344,-70.9501,42.0825,0.06162,0,4.39,0.442,5.898,52.3,8.0136,3,352,18.8,12.67
462,-70.9275,42.0795,0.0187,85,4.15,0.429,6.516,27.7,8.5353,4,351,17.9,6.36
490,-70.92,42.1016,0.01501,80,2.01,0.435,6.635,29.7,8.344,4,280,17,5.99
532,-70.855,42.13,0.02899,40,1.25,0.429,6.939,34.5,8.7921,1,335,19.7,5.89
458,-70.833,42.115,0.06211,40,1.25,0.429,6.49,44.4,8.7921,1,335,19.7,5.98
482,-70.83,42.0775,0.0795,60,1.69,0.411,6.579,35.9,10.7103,4,411,18.3,5.49
372,-70.81,42.059,0.07244,60,1.69,0.411,5.884,18.5,10.7103,4,411,18.3,7.79
602,-70.83,42.0485,0.01709,90,2.02,0.41,6.728,36.1,12.1265,5,187,17,4.5
364,-70.853,42.052,0.04301,80,1.91,0.413,5.663,21.9,10.5857,4,334,22,8.05
412,-70.8525,42.03,0.10659,80,1.91,0.413,5.936,19.5,10.5857,4,334,22,5.57
356,-71.083,42.2172,8.98296,0,18.1,0.77,6.212,97.4,2.1222,24,666,20.2,17.6
434,-71.095,42.212,3.8497,0,18.1,0.77,6.395,91,2.5052,24,666,20.2,13.27
454,-71.1007,42.21,5.20177,0,18.1,0.77,6.127,83.4,2.7227,24,666,20.2,11.48
452,-71.093,42.207,4.26131,0,18.1,0.77,6.112,81.3,2.5091,24,666,20.2,12.67
500,-71.0905,42.2033,4.54192,0,18.1,0.77,6.398,88,2.5182,24,666,20.2,7.79
398,-71.0865,42.21,3.83684,0,18.1,0.77,6.251,91.1,2.2955,24,666,20.2,14.19
416,-71.081,42.208,3.67822,0,18.1,0.77,5.362,96.2,2.1036,24,666,20.2,10.19
336,-71.0865,42.215,4.22239,0,18.1,0.77,5.803,89,1.9047,24,666,20.2,14.64
438,-71.059,42.2098,3.47428,0,18.1,0.718,8.78,82.9,1.9047,24,666,20.2,5.29
550,-71.0595,42.2075,4.55587,0,18.1,0.718,3.561,87.9,1.6132,24,666,20.2,7.12
438,-71.054,42.2052,3.69695,0,18.1,0.718,4.963,91.4,1.7523,24,666,20.2,14
462,-71.0508,42.207,13.5222,0,18.1,0.631,3.863,100,1.5106,24,666,20.2,13.33
1000,-71.048,42.2105,4.89822,0,18.1,0.631,4.97,100,1.3325,24,666,20.2,3.26
1000,-71.0497,42.2125,5.66998,0,18.1,0.631,6.683,96.8,1.3567,24,666,20.2,3.73
1000,-71.0422,42.2144,6.53876,0,18.1,0.631,7.016,97.5,1.2024,24,666,20.2,2.96
1000,-71.0417,42.216,9.2323,0,18.1,0.631,6.216,100,1.1691,24,666,20.2,9.53
1000,-71.0397,42.2182,8.26725,0,18.1,0.668,5.875,89.6,1.1296,24,666,20.2,8.88
276,-71.0339,42.2207,11.1081,0,18.1,0.668,4.906,100,1.1742,24,666,20.2,34.77
276,-71.0346,42.2187,18.4982,0,18.1,0.668,4.138,100,1.137,24,666,20.2,37.97
300,-71.0367,42.224,19.6091,0,18.1,0.671,7.313,97.9,1.3163,24,666,20.2,13.44
278,-71.034,42.226,15.288,0,18.1,0.671,6.649,93.3,1.3449,24,666,20.2,23.24
266,-71.038,42.2265,9.82349,0,18.1,0.671,6.794,98.8,1.358,24,666,20.2,21.24
262,-71.04,42.2248,23.6482,0,18.1,0.671,6.38,96.2,1.3861,24,666,20.2,23.69
204,-71.04,42.2275,17.8667,0,18.1,0.671,6.223,100,1.3861,24,666,20.2,21.78
208,-71.046,42.23,88.9762,0,18.1,0.671,6.968,91.9,1.4165,24,666,20.2,17.21
218,-71.041,42.229,15.8744,0,18.1,0.671,6.545,99.1,1.5192,24,666,20.2,21.08
226,-71.023,42.2287,9.18702,0,18.1,0.7,5.536,100,1.5804,24,666,20.2,23.6
246,-71.0215,42.227,7.99248,0,18.1,0.7,5.52,100,1.5331,24,666,20.2,24.56
176,-71.0245,42.2235,20.0849,0,18.1,0.7,4.368,91.2,1.4395,24,666,20.2,30.63
144,-71.0235,42.2213,16.8118,0,18.1,0.7,5.277,98.1,1.4261,24,666,20.2,30.81
210,-71.0228,42.2231,24.3938,0,18.1,0.7,4.652,100,1.4672,24,666,20.2,28.28
148,-71.0215,42.2248,22.5971,0,18.1,0.7,5,89.5,1.5184,24,666,20.2,31.99
204,-71.0195,42.2255,14.3337,0,18.1,0.7,4.88,100,1.5895,24,666,20.2,30.62
230,-71.0168,42.2281,8.15174,0,18.1,0.7,5.39,98.9,1.7281,24,666,20.2,20.85
302,-71.0109,42.23,6.96215,0,18.1,0.7,5.713,97,1.9265,24,666,20.2,17.11
464,-71.0035,42.233,5.29305,0,18.1,0.7,6.051,82.5,2.1678,24,666,20.2,18.76
194,-71.02,42.2205,11.5779,0,18.1,0.7,5.036,97,1.77,24,666,20.2,25.68
276,-71.0167,42.201,8.64476,0,18.1,0.693,6.193,92.6,1.7912,24,666,20.2,15.17
254,-71.02,42.1993,13.3598,0,18.1,0.693,5.887,94.7,1.7821,24,666,20.2,16.35
262,-71.022,42.1996,8.71675,0,18.1,0.693,6.471,98.8,1.7257,24,666,20.2,17.12
250,-71.026,42.1993,5.87205,0,18.1,0.693,6.405,96,1.6768,24,666,20.2,19.37
170,-71.025,42.2024,7.67202,0,18.1,0.693,5.747,98.9,1.6334,24,666,20.2,19.92
100,-71.023,42.209,38.3518,0,18.1,0.693,5.453,100,1.4896,24,666,20.2,30.59
126,-71.033,42.2032,9.91655,0,18.1,0.693,5.852,77.8,1.5004,24,666,20.2,29.97
112,-71.0326,42.2011,25.0461,0,18.1,0.693,5.987,100,1.5888,24,666,20.2,26.77
144,-71.03,42.2015,14.2362,0,18.1,0.693,6.343,100,1.5741,24,666,20.2,20.32
242,-71.03,42.1988,9.59571,0,18.1,0.693,6.404,100,1.639,24,666,20.2,20.31
166,-71.0332,42.198,24.8017,0,18.1,0.693,5.349,96,1.7028,24,666,20.2,19.77
170,-71.0345,42.2001,41.5292,0,18.1,0.693,5.531,85.4,1.6074,24,666,20.2,27.38
100,-71.032,42.2057,67.9208,0,18.1,0.693,5.683,100,1.4254,24,666,20.2,22.98
238,-71.039,42.2198,20.7162,0,18.1,0.659,4.138,100,1.1781,24,666,20.2,23.34
558,-71.0427,42.209,11.9511,0,18.1,0.659,5.608,100,1.2852,24,666,20.2,12.13
344,-71.0437,42.205,7.40389,0,18.1,0.597,5.617,97.9,1.4547,24,666,20.2,26.4
550,-71.0455,42.206,14.4383,0,18.1,0.597,6.852,100,1.4655,24,666,20.2,19.78
300,-71.0462,42.2075,51.1358,0,18.1,0.597,5.757,100,1.413,24,666,20.2,10.11
344,-71.0487,42.2048,14.0507,0,18.1,0.597,6.657,100,1.5275,24,666,20.2,21.22
358,-71.047,42.203,18.811,0,18.1,0.597,4.628,100,1.5539,24,666,20.2,34.37
326,-71.0451,42.2015,28.6558,0,18.1,0.597,5.155,100,1.5894,24,666,20.2,20.08
140,-71.042,42.1985,45.7461,0,18.1,0.693,4.519,100,1.6582,24,666,20.2,36.98
144,-71.0455,42.1953,18.0846,0,18.1,0.679,6.434,100,1.8347,24,666,20.2,29.05
150,-71.0477,42.1965,10.8342,0,18.1,0.679,6.782,90.8,1.8195,24,666,20.2,25.79
208,-71.0498,42.2007,25.9406,0,18.1,0.679,5.304,89.1,1.6475,24,666,20.2,26.64
176,-71.0525,42.1989,73.5341,0,18.1,0.679,5.957,100,1.8026,24,666,20.2,20.62
168,-71.0586,42.1999,11.8123,0,18.1,0.718,6.824,76.5,1.794,24,666,20.2,22.74
334,-71.0618,42.199,11.0874,0,18.1,0.718,6.411,100,1.8589,24,666,20.2,15.02
284,-71.065,42.2018,7.02259,0,18.1,0.718,6.006,95.3,1.8746,24,666,20.2,15.7
416,-71.0665,42.197,12.0482,0,18.1,0.614,5.648,87.6,1.9512,24,666,20.2,14.1
268,-71.0619,42.1948,7.05042,0,18.1,0.614,6.103,85.1,2.0218,24,666,20.2,23.29
234,-71.059,42.192,8.79212,0,18.1,0.584,5.565,70.6,2.0635,24,666,20.2,17.16
166,-71.0577,42.1967,15.8603,0,18.1,0.679,5.896,95.4,1.9096,24,666,20.2,24.39
204,-71.0558,42.1937,12.2472,0,18.1,0.584,5.837,59.7,1.9976,24,666,20.2,15.69
218,-71.0542,42.1961,37.6619,0,18.1,0.679,6.202,78.7,1.8629,24,666,20.2,14.52
220,-71.0521,42.194,7.36711,0,18.1,0.679,6.193,78.1,1.9356,24,666,20.2,21.52
190,-71.0485,42.192,9.33889,0,18.1,0.679,6.38,95.6,1.9682,24,666,20.2,24.08
290,-71.0547,42.189,8.49213,0,18.1,0.584,6.348,86.1,2.0527,24,666,20.2,17.64
282,-71.0505,42.188,10.0623,0,18.1,0.584,6.833,94.3,2.0882,24,666,20.2,19.69
322,-71.052,42.1854,6.44405,0,18.1,0.584,6.425,74.8,2.2004,24,666,20.2,12.03
286,-71.0495,42.1815,5.58107,0,18.1,0.713,6.436,87.9,2.3158,24,666,20.2,16.22
234,-71.0475,42.1842,13.9134,0,18.1,0.713,6.208,95,2.2222,24,666,20.2,15.17
268,-71.046,42.1867,11.1604,0,18.1,0.74,6.629,94.6,2.1247,24,666,20.2,23.27
192,-71.0455,42.1893,14.4208,0,18.1,0.74,6.461,93.3,2.0026,24,666,20.2,18.05
174,-71.0445,42.1917,15.1772,0,18.1,0.74,6.152,100,1.9142,24,666,20.2,26.45
168,-71.0445,42.1938,13.6781,0,18.1,0.74,5.935,87.9,1.8206,24,666,20.2,34.02
256,-71.037,42.194,9.39063,0,18.1,0.74,5.627,93.9,1.8172,24,666,20.2,22.88
210,-71.0321,42.1925,22.0511,0,18.1,0.74,5.818,92.4,1.8662,24,666,20.2,22.11
342,-71.0345,42.185,9.72418,0,18.1,0.74,6.406,97.2,2.0651,24,666,20.2,19.52
368,-71.034,42.189,5.66637,0,18.1,0.74,6.219,100,2.0048,24,666,20.2,16.59
308,-71.0378,42.1892,9.96654,0,18.1,0.74,6.485,100,1.9784,24,666,20.2,18.85
216,-71.0405,42.192,12.8023,0,18.1,0.74,5.854,96.6,1.8956,24,666,20.2,23.79
236,-71.0425,42.189,10.6718,0,18.1,0.74,6.459,94.8,1.9879,24,666,20.2,23.98
298,-71.039,42.1868,6.28807,0,18.1,0.74,6.341,96.4,2.072,24,666,20.2,17.79
252,-71.037,42.184,9.92485,0,18.1,0.74,6.251,96.6,2.198,24,666,20.2,16.44
282,-71.04,42.182,9.32909,0,18.1,0.713,6.185,98.7,2.2616,24,666,20.2,18.13
260,-71.0428,42.1845,7.52601,0,18.1,0.713,6.417,98.3,2.185,24,666,20.2,19.31
268,-71.046,42.181,6.71772,0,18.1,0.713,6.749,92.6,2.3236,24,666,20.2,17.44
304,-71.041,42.1795,5.44114,0,18.1,0.713,6.655,98.2,2.3552,24,666,20.2,17.73
322,-71.034,42.179,5.09017,0,18.1,0.713,6.297,91.8,2.3682,24,666,20.2,17.27
356,-71.04,42.177,8.24809,0,18.1,0.713,7.393,99.3,2.4527,24,666,20.2,16.74
298,-71.0455,42.1768,9.51363,0,18.1,0.713,6.728,94.1,2.4961,24,666,20.2,18.71
282,-71.051,42.178,4.75237,0,18.1,0.713,6.525,86.5,2.4358,24,666,20.2,18.13
254,-71.0517,42.1735,4.66883,0,18.1,0.713,5.976,87.9,2.5806,24,666,20.2,19.01
270,-71.0515,42.17,8.20058,0,18.1,0.713,5.936,80.3,2.7792,24,666,20.2,16.94
298,-71.0475,42.169,7.75223,0,18.1,0.713,6.301,83.7,2.7831,24,666,20.2,16.23
400,-71.043,42.169,6.80117,0,18.1,0.713,6.081,84.4,2.7175,24,666,20.2,14.7
328,-71.043,42.1728,4.81213,0,18.1,0.713,6.701,90,2.5975,24,666,20.2,16.42
354,-71.035,42.1745,3.69311,0,18.1,0.713,6.376,88.4,2.5671,24,666,20.2,14.65
390,-71.031,42.1695,6.65492,0,18.1,0.713,6.317,83,2.7344,24,666,20.2,13.99
404,-71.0358,42.1675,5.82115,0,18.1,0.713,6.513,89.9,2.8016,24,666,20.2,10.29
428,-71.045,42.164,7.83932,0,18.1,0.655,6.209,65.4,2.9634,24,666,20.2,13.22
398,-71.055,42.165,3.1636,0,18.1,0.655,5.759,48.2,3.0665,24,666,20.2,14.13
380,-71.055,42.1685,3.77498,0,18.1,0.655,5.952,84.7,2.8715,24,666,20.2,17.15
382,-71.066,42.178,4.42228,0,18.1,0.584,6.003,94.5,2.5403,24,666,20.2,21.32
382,-71.07,42.168,15.5757,0,18.1,0.58,5.926,71,2.9084,24,666,20.2,18.13
402,-71.069,42.1725,13.0751,0,18.1,0.58,5.713,56.7,2.8237,24,666,20.2,14.76
398,-71.074,42.168,4.34879,0,18.1,0.58,6.167,84,3.0334,24,666,20.2,16.29
392,-71.0825,42.1698,4.03841,0,18.1,0.532,6.229,90.7,3.0993,24,666,20.2,12.87
464,-71.0833,42.175,3.56868,0,18.1,0.58,6.437,75,2.8965,24,666,20.2,14.36
596,-71.0732,42.184,4.64689,0,18.1,0.614,6.98,67.6,2.5329,24,666,20.2,11.66
276,-71.055,42.183,8.05579,0,18.1,0.584,5.427,95.4,2.4298,24,666,20.2,18.14
266,-71.0511,42.1879,6.39312,0,18.1,0.584,6.162,97.4,2.206,24,666,20.2,24.1
334,-71.0565,42.188,4.87141,0,18.1,0.614,6.484,93.6,2.3053,24,666,20.2,18.68
240,-71.0528,42.192,15.0234,0,18.1,0.614,5.304,97.3,2.1007,24,666,20.2,24.91
292,-71.0558,42.1913,10.233,0,18.1,0.614,6.185,96.7,2.1705,24,666,20.2,18.03
428,-71.067,42.1945,14.3337,0,18.1,0.614,6.229,88,1.9512,24,666,20.2,13.11
460,-71.1008,42.174,5.82401,0,18.1,0.532,6.242,64.7,3.4242,24,666,20.2,10.74
474,-71.095,42.173,5.70818,0,18.1,0.532,6.75,74.9,3.3317,24,666,20.2,7.74
500,-71.09,42.1665,5.73116,0,18.1,0.532,7.061,77,3.4106,24,666,20.2,7.01
436,-71.0975,42.1608,2.81838,0,18.1,0.532,5.762,40.3,4.0983,24,666,20.2,10.42
412,-71.0804,42.154,2.37857,0,18.1,0.583,5.871,41.9,3.724,24,666,20.2,13.34
424,-71.075,42.1455,3.67367,0,18.1,0.583,6.312,51.9,3.9917,24,666,20.2,10.58
382,-71.0715,42.155,5.69175,0,18.1,0.583,6.114,79.8,3.5459,24,666,20.2,14.98
412,-71.065,42.161,4.83567,0,18.1,0.583,5.905,53.2,3.1523,24,666,20.2,11.45
304,-71.0189,42.2344,0.15086,0,27.74,0.609,5.454,92.7,1.8209,4,711,20.1,18.06
140,-71.0228,42.2335,0.18337,0,27.74,0.609,5.414,98.3,1.7554,4,711,20.1,23.97
162,-71.0245,42.2368,0.20746,0,27.74,0.609,5.093,98,1.8226,4,711,20.1,29.68
272,-71.016,42.2382,0.10574,0,27.74,0.609,5.983,98.8,1.8681,4,711,20.1,18.07
402,-71.0297,42.2447,0.11132,0,27.74,0.609,5.983,83.5,2.1099,4,711,20.1,13.35
436,-71.0125,42.2462,0.17331,0,9.69,0.585,5.707,54,2.3817,6,391,19.2,12.01
490,-71.0125,42.25,0.27957,0,9.69,0.585,5.926,42.6,2.3817,6,391,19.2,13.59
462,-71.0105,42.2547,0.17899,0,9.69,0.585,5.67,28.8,2.7986,6,391,19.2,17.6
394,-71.001,42.2525,0.2896,0,9.69,0.585,5.39,72.9,2.7986,6,391,19.2,21.14
366,-70.9947,42.2496,0.26838,0,9.69,0.585,5.794,70.6,2.8927,6,391,19.2,14.1
424,-71.005,42.2455,0.23912,0,9.69,0.585,6.019,65.3,2.4091,6,391,19.2,12.92
350,-70.9985,42.243,0.17783,0,9.69,0.585,5.569,73.5,2.3999,6,391,19.2,15.1
336,-70.992,42.238,0.22438,0,9.69,0.585,6.027,79.7,2.4982,6,391,19.2,14.33
448,-70.986,42.2312,0.06263,0,11.93,0.573,6.593,69.1,2.4786,1,273,21,9.67
412,-70.991,42.2275,0.04527,0,11.93,0.573,6.12,76.7,2.2875,1,273,21,9.08
478,-70.9948,42.226,0.06076,0,11.93,0.573,6.976,91,2.1675,1,273,21,5.64
440,-70.9875,42.224,0.10959,0,11.93,0.573,6.794,89.3,2.3889,1,273,21,6.48
238,-70.9825,42.221,0.04741,0,11.93,0.573,6.03,80.8,2.505,1,273,21,7.88
